Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),Data Set 2:Time(s),Data Set 2:Force(N),Data Set 2:Respiration Rate(bpm)
0.0,6.72,11.9,0.0,5.52,13.4
0.1,6.55,,0.1,5.33,
0.2,6.46,,0.2,5.19,
0.3,6.29,,0.3,5.13,
0.4,6.10,,0.4,5.11,
0.5,5.93,,0.5,5.09,
0.6,5.99,,0.6,5.05,
0.7,6.27,,0.7,4.98,
0.8,6.57,,0.8,4.88,
0.9,6.62,,0.9,4.77,
1.0,6.54,,1.0,4.71,
1.1,6.48,,1.1,4.68,
1.2,6.28,,1.2,4.66,
1.3,6.00,,1.3,4.64,
1.4,5.75,,1.4,4.60,
1.5,5.63,,1.5,4.54,
1.6,5.62,,1.6,4.43,
1.7,5.72,,1.7,4.34,
1.8,5.93,,1.8,4.31,
1.9,6.24,,1.9,4.27,
2.0,6.74,,2.0,4.21,
2.1,7.14,,2.1,4.14,
2.2,7.06,,2.2,4.07,
2.3,6.67,,2.3,3.99,
2.4,6.31,,2.4,3.90,
2.5,6.13,,2.5,3.87,
2.6,5.95,,2.6,3.87,
2.7,5.81,,2.7,3.88,
2.8,5.84,,2.8,3.90,
2.9,5.93,,2.9,3.94,
3.0,6.02,,3.0,3.94,
3.1,6.20,,3.1,3.81,
3.2,6.51,,3.2,3.61,
3.3,6.65,,3.3,3.45,
3.4,6.33,,3.4,3.26,
3.5,5.73,,3.5,3.09,
3.6,5.29,,3.6,3.23,
3.7,5.00,,3.7,3.69,
3.8,4.67,,3.8,4.16,
3.9,4.42,,3.9,4.43,
4.0,4.38,,4.0,4.66,
4.1,4.53,,4.1,4.94,
4.2,4.80,,4.2,5.29,
4.3,5.27,,4.3,5.67,
4.4,5.82,,4.4,6.03,
4.5,6.23,,4.5,6.32,
4.6,6.52,,4.6,6.55,
4.7,6.69,,4.7,6.75,
4.8,6.76,,4.8,6.89,
4.9,6.75,,4.9,6.82,
5.0,6.83,,5.0,6.47,
5.1,7.21,,5.1,6.01,
5.2,7.71,,5.2,5.64,
5.3,8.12,,5.3,5.42,
5.4,8.43,,5.4,5.27,
5.5,8.46,,5.5,5.12,
5.6,8.11,,5.6,4.97,
5.7,7.54,,5.7,4.76,
5.8,7.01,,5.8,4.53,
5.9,6.46,,5.9,4.38,
6.0,5.93,,6.0,4.30,
6.1,5.40,,6.1,4.25,
6.2,5.27,,6.2,4.22,
6.3,5.72,,6.3,4.15,
6.4,6.42,,6.4,4.03,
6.5,7.14,,6.5,3.90,
6.6,7.81,,6.6,3.77,
6.7,8.26,,6.7,3.70,
6.8,8.45,,6.8,3.68,
6.9,8.39,,6.9,3.65,
7.0,8.00,,7.0,3.54,
7.1,7.48,,7.1,3.42,
7.2,7.00,,7.2,3.36,
7.3,6.59,,7.3,3.31,
7.4,6.34,,7.4,3.25,
7.5,6.16,,7.5,3.24,
7.6,6.15,,7.6,3.34,
7.7,6.17,,7.7,3.59,
7.8,5.92,,7.8,3.93,
7.9,5.55,,7.9,4.29,
8.0,5.17,,8.0,4.67,
8.1,4.86,,8.1,5.13,
8.2,4.66,,8.2,5.64,
8.3,4.54,,8.3,6.14,
8.4,4.55,,8.4,6.68,
8.5,4.62,,8.5,7.27,
8.6,4.63,,8.6,7.85,
8.7,4.60,,8.7,8.18,
8.8,4.61,,8.8,8.02,
8.9,4.49,,8.9,7.48,
9.0,4.21,,9.0,6.91,
9.1,3.98,,9.1,6.50,
9.2,3.86,,9.2,6.16,
9.3,3.73,,9.3,5.87,
9.4,3.70,,9.4,5.59,
9.5,3.88,,9.5,5.27,
9.6,4.26,,9.6,4.95,
9.7,4.73,,9.7,4.75,
9.8,5.20,,9.8,4.58,
9.9,5.57,,9.9,4.44,
10.0,5.75,13.5,10.0,4.35,14.7
10.1,5.81,,10.1,4.23,
10.2,5.94,,10.2,4.08,
10.3,6.14,,10.3,3.98,
10.4,6.26,,10.4,3.96,
10.5,6.45,,10.5,3.98,
10.6,6.75,,10.6,4.01,
10.7,6.97,,10.7,4.02,
10.8,7.09,,10.8,3.98,
10.9,7.10,,10.9,3.95,
11.0,6.92,,11.0,3.97,
11.1,6.58,,11.1,4.00,
11.2,6.19,,11.2,4.05,
11.3,5.74,,11.3,4.09,
11.4,5.28,,11.4,4.06,
11.5,4.99,,11.5,3.99,
11.6,4.90,,11.6,4.00,
11.7,4.89,,11.7,4.06,
11.8,4.86,,11.8,4.11,
11.9,4.83,,11.9,4.07,
12.0,4.78,,12.0,3.93,
12.1,4.61,,12.1,3.76,
12.2,4.39,,12.2,3.65,
12.3,4.16,,12.3,3.57,
12.4,3.94,,12.4,3.48,
12.5,3.71,,12.5,3.41,
12.6,3.55,,12.6,3.35,
12.7,3.57,,12.7,3.35,
12.8,3.71,,12.8,3.54,
12.9,3.91,,12.9,3.87,
13.0,4.14,,13.0,4.24,
13.1,4.18,,13.1,4.60,
13.2,4.17,,13.2,4.93,
13.3,4.28,,13.3,5.20,
13.4,4.42,,13.4,5.47,
13.5,4.63,,13.5,5.78,
13.6,5.07,,13.6,6.11,
13.7,5.60,,13.7,6.41,
13.8,6.13,,13.8,6.66,
13.9,6.53,,13.9,6.77,
14.0,6.82,,14.0,6.75,
14.1,7.08,,14.1,6.59,
14.2,7.22,,14.2,6.30,
14.3,7.22,,14.3,5.97,
14.4,7.20,,14.4,5.66,
14.5,7.14,,14.5,5.32,
14.6,7.00,,14.6,4.99,
14.7,6.82,,14.7,4.74,
14.8,6.86,,14.8,4.58,
14.9,6.98,,14.9,4.45,
15.0,6.78,,15.0,4.34,
15.1,6.30,,15.1,4.23,
15.2,5.77,,15.2,4.11,
15.3,5.29,,15.3,4.01,
15.4,5.00,,15.4,4.00,
15.5,5.00,,15.5,4.00,
15.6,5.12,,15.6,3.95,
15.7,5.27,,15.7,3.90,
15.8,5.27,,15.8,3.82,
15.9,4.94,,15.9,3.69,
16.0,4.65,,16.0,3.59,
16.1,4.56,,16.1,3.53,
16.2,4.42,,16.2,3.47,
16.3,4.35,,16.3,3.40,
16.4,4.50,,16.4,3.34,
16.5,4.68,,16.5,3.34,
16.6,4.86,,16.6,3.49,
16.7,5.18,,16.7,3.78,
16.8,5.60,,16.8,4.13,
16.9,5.98,,16.9,4.47,
17.0,6.30,,17.0,4.79,
17.1,6.58,,17.1,5.06,
17.2,6.85,,17.2,5.25,
17.3,7.07,,17.3,5.45,
17.4,7.43,,17.4,5.72,
